id,season,war
455,2004,2.8
455,2005,2.2
639,1998,0.2
639,1999,3.4
639,2000,3.9
639,2001,0.9
639,2002,4.0
639,2003,3.2
639,2004,9.7
639,2005,2.4
639,2006,4.6
639,2007,2.9
639,2008,3.9
639,2009,2.2
639,2010,6.5
639,2011,5.5
639,2012,6.4
639,2013,4.9
639,2014,5.9
639,2015,4.3
639,2016,5.5
639,2017,2.9
639,2018,1.2
1006644,1915,0.6
1006644,1916,1.1
1006644,1917,3.5
1006644,1918,2.4
1006644,1919,3.9
1006644,1920,4.1
1006644,1921,2.2
1006644,1922,1.8
1006644,1923,3.0
1006644,1924,3.9
1006644,1925,2.8
1006644,1926,2.9
1006644,1927,1.9
1006644,1928,3.5
1006644,1929,3.7
1006644,1930,3.8
1006644,1931,0.2
1006644,1932,0.4
1006644,1933,-0.1
1006644,1934,0.1
1008089,1923,2.1
1008089,1924,1.8
1008089,1925,0.7
1008089,1926,4.9
1008089,1927,1.6
1008089,1928,6.9
1008089,1929,3.8
1008089,1930,4.0
1008089,1931,1.9
1008089,1932,5.1
1008089,1933,4.1
1008089,1934,4.5
1008089,1935,0.4
1008089,1936,-0.9
1008089,1937,2.3
1008089,1938,0.2
1008089,1939,-0.3
1006428,1933,3.9
1006428,1934,4.6
1006428,1935,3.9
1006428,1936,3.6
1006428,1937,5.4
1006428,1938,4.7
1006428,1939,6.4
1006428,1940,3.6
1006428,1941,4.1
1006428,1942,4.2
1006428,1943,3.2
1006428,1944,6.4
1006428,1945,3.1
1011247,1913,-0.2
1011247,1914,1.2
1011247,1915,3.5
1011247,1916,2.0
1011247,1917,5.1
1011247,1918,4.7
1011247,1919,5.3
1011247,1920,6.0
1011247,1921,3.6
1011247,1922,1.4
1011247,1923,4.8
1011247,1924,3.2
1011247,1925,3.5
1011247,1926,2.8
1011247,1927,1.4
1011247,1928,-0.1
1011247,1929,2.2
1011247,1931,-0.7
1000378,1929,3.8
1000378,1930,3.5
1000378,1931,6.1
1000378,1932,5.0
1000378,1933,3.9
1000378,1934,6.7
1000378,1935,3.6
1000378,1936,6.9
1000378,1937,3.2
1000378,1938,5.1
1000378,1939,0.8
1000378,1940,-0.5
1000378,1941,-0.2
1011586,1972,0.1
1011586,1973,2.1
1011586,1974,9.4
1011586,1975,7.9
